"key";"label";"required";"nl";"fr";"en";"de";"es";"pl";"pt";"tr"
"home.occasion.swipe";"Homepage · Gelegenheden · swipehint";"true";"Swipe door de cadeauselectie";"Faites défiler la sélection cadeau";"Swipe the gifting edit";"Durch die Geschenkauswahl wischen";"Desliza por la selección de regalos";"Przesuń, aby zobaczyć prezenty";"Deslize pela seleção de presentes";"Hediye seçkisinde kaydırın"
"home.occasion.listAria";"Homepage · Gelegenheden · toegankelijkheidslabel van lijst";"true";"Cadeauproducten";"Produits cadeaux";"Gifting products";"Geschenkartikel";"Productos para regalar";"Produkty na prezent";"Produtos para oferecer";"Hediyelik ürünler"
"home.occasion.cardEyebrow";"Homepage · Gelegenheden · Bovenlabel op kaart";"true";"Retailgeschenken";"Cadeaux au détail";"Retail gifting";"Einzelhandelsgeschenke";"Regalos al por menor";"Prezenty do sprzedaży detalicznej";"Presentes para retalho";"Perakende hediyelik eşya"
"home.occasion.item1.description";"Homepage · Gelegenheden · item 1 · beschrijving";"true";"Een verzorgd geschenk met één roos en een spiegelende presentatie, ideaal voor doordachte, compacte winkelpresentaties.";"Un cadeau raffiné composé d’une seule rose, avec une présentation réfléchissante adaptée aux petits espaces de vente soignés.";"A polished single-rose gift with a reflective presentation for considered, compact displays.";"Ein edles Geschenk mit einer einzelnen Rose und spiegelnder Präsentation für durchdachte, kompakte Verkaufsflächen.";"Un regalo refinado de una sola rosa, con una presentación reflectante para exposiciones compactas y cuidadas.";"Elegancki upominek z jedną różą i lustrzanym wykończeniem, odpowiedni do przemyślanych, kompaktowych ekspozycji.";"Um presente requintado com uma única rosa e uma apresentação espelhada, ideal para exposições compactas e cuidadas.";"Tek güllü, aynalı ve zarif bir hediye; özenli, kompakt teşhirler için idealdir."
"home.occasion.item1.imageAlt";"Homepage · Gelegenheden · item 1 · alternatieve fototekst";"true";"Roos gepresenteerd in een gespiegelde geschenkdoos";"Rose présentée dans un coffret cadeau miroir";"Rose presented on a mirrored gift box";"Rose präsentiert in einer verspiegelten Geschenkbox";"Rosa presentada en una caja de regalo con espejo.";"Róża prezentowana w lustrzanym pudełku prezentowym";"Rosa apresentada numa caixa de presente espelhada";"Gül aynalı bir hediye kutusunda sunuluyor"
"home.occasion.item2.description";"Homepage · Gelegenheden · item 2 · beschrijving";"true";"Een heldere presentatie die de roos centraal stelt in een eenvoudig en veelzijdig cadeau.";"Une présentation claire qui place la rose au cœur d’un cadeau simple et polyvalent.";"A clear presentation that keeps the rose at the centre of an easy, versatile gifting edit.";"Eine klare Präsentation, bei der die Rose im Mittelpunkt einer einfachen, vielseitigen Geschenkauswahl steht.";"Una presentación clara que sitúa la rosa en el centro de un regalo sencillo y versátil.";"Przejrzysta prezentacja, która stawia różę w centrum prostego i uniwersalnego upominku.";"Uma apresentação transparente que mantém a rosa em destaque num presente versátil e fácil de oferecer.";"Gülü kolay, çok yönlü bir hediye düzenlemesinin merkezinde tutan net bir sunum."
"home.occasion.item2.imageAlt";"Homepage · Gelegenheden · item 2 · alternatieve fototekst";"true";"Gepreserveerde roos weergegeven in een heldere plexibox";"Rose préservée présentée dans une boîte en plexi transparent";"Preserved rose displayed in a clear plexibox";"Konservierte Rose in einer durchsichtigen Plexibox";"Rosa preservada presentada en una caja de plexi transparente.";"Stabilizowana róża eksponowana w przezroczystym plexiboxie";"Rosa preservada apresentada numa caixa transparente";"Korunmuş gül şeffaf pleksi kutuda sergileniyor"
"home.occasion.item3.description";"Homepage · Gelegenheden · item 3 · beschrijving";"true";"Een gedurfder silhouet voor gelegenheden die vragen om een expressiever rozencadeau.";"Une silhouette plus audacieuse pour les occasions qui appellent un cadeau floral plus expressif.";"A bolder silhouette for the occasions that call for a more expressive rose gift.";"Eine gewagtere Silhouette für Anlässe, die ein ausdrucksstärkeres Rosengeschenk erfordern.";"Una silueta más atrevida para las ocasiones que requieren un regalo de rosas más expresivo.";"Odważniejsza sylwetka na okazje, które wymagają bardziej wyrazistego prezentu w postaci róż.";"Uma silhueta mais ousada para ocasiões que pedem um presente floral mais expressivo.";"Daha etkileyici bir gül hediyesi gerektiren durumlar için daha cesur bir siluet."
"home.occasion.item3.imageAlt";"Homepage · Gelegenheden · item 3 · alternatieve fototekst";"true";"Gepreserveerde roos in een XL ruitvormige display";"Rose préservée dans un présentoir XL en forme de diamant";"Preserved rose in an XL diamond-shaped display";"Konservierte Rose in einem rautenförmigen XL-Display";"Rosa preservada en un expositor XL en forma de diamante";"Stabilizowana róża w displayu w kształcie rombu XL";"Rosa preservada em expositor XL em forma de diamante";"XL elmas biçimli teşhir kutusunda korunmuş gül"
"home.soap.label";"Homepage · Zeeprozen · bovenlabel";"true";"Zeep- en schuimrozen";"Roses en savon et en mousse";"Soap & foam roses";"Seifen- und Schaumrosen";"Rosas de jabón y espuma";"Róże mydlane i piankowe";"Rosas de sabão e espuma";"Sabun ve köpük gülleri"
"home.soap.title";"Homepage · Zeeprozen · titel";"true";"Het uiterlijk van een roos.";"L'apparence d'une rose.";"The look of a rose.";"Das Aussehen einer Rose.";"La apariencia de una rosa.";"Wygląd róży.";"A aparência de uma rosa.";"Gül görünümü."
"home.soap.titleEmphasis";"Homepage · Zeeprozen · titelaccent";"true";"Gemaakt om cadeau te doen.";"Fabriqué pour offrir.";"Made to gift.";"Zum Verschenken gemacht.";"Hecho para regalar.";"Wykonane na prezent.";"Feito para oferecer.";"Hediye etmek için üretildi."
"home.soap.intro";"Homepage · Zeeprozen · inleiding";"true";"Zachte bloemblaadjes, doordachte verpakkingen en geen onderhoud. Een cadeauklare collectie die er van magazijn tot toonbank verzorgd blijft uitzien.";"Des pétales doux, un emballage soigné et aucun entretien. Une collection prête à offrir qui conserve toute sa présentation, de la réserve au comptoir.";"Soft petals, considered packaging and no maintenance. A gift-ready collection that keeps its presentation from stockroom to counter.";"Weiche Blütenblätter, durchdachte Verpackung und kein Pflegeaufwand. Eine geschenkfertige Kollektion, die vom Lager bis zur Theke ansprechend präsentiert bleibt.";"Pétalos suaves, embalaje cuidado y sin mantenimiento. Una colección lista para regalar que conserva su presentación desde el almacén hasta el mostrador.";"Miękkie płatki, przemyślane opakowanie i brak pielęgnacji. Gotowa na prezent kolekcja, która zachowuje świetną prezentację od magazynu po ladę.";"Pétalas suaves, embalagem cuidada e sem manutenção. Uma coleção pronta a oferecer que mantém a apresentação desde o armazém até ao balcão.";"Yumuşak yapraklar, özenli ambalaj ve bakım gerektirmeyen kullanım. Depodan tezgâha kadar sunumunu koruyan, hediyeye hazır bir koleksiyon."
"home.soap.item1.label";"Homepage · Zeeprozen · item 1 · bovenlabel";"true";"01 · Geschenkdoos met venster";"01 · Boîte cadeau vitrine";"01 · Window box";"01 · Geschenkbox mit Sichtfenster";"01 · Caja regalo con ventana";"01 · Pudełko prezentowe z okienkiem";"01 · Caixa de presente com janela";"01 · Pencereli hediye kutusu"
"home.soap.item1.title";"Homepage · Zeeprozen · item 1 · titel";"true";"Eén steel.";"Une tige.";"One stem.";"Ein Stiel.";"Un tallo.";"Jedna łodyga.";"Uma haste.";"Tek dal."
"home.soap.item1.titleEmphasis";"Homepage · Zeeprozen · item 1 · titelaccent";"true";"Schapklaar.";"Prêt à être mis en rayon.";"Shelf-ready.";"Regalfertig.";"Listo para exponer.";"Gotowe na półkę.";"Pronto para a prateleira.";"Rafa hazır."
"home.soap.item1.imageAlt";"Homepage · Zeeprozen · item 1 · alternatieve fototekst";"true";"Enkele rode zeeproos in een lange zwarte Enrosed geschenkverpakking met venster";"Rose de savon rouge unique dans une longue boîte cadeau à fenêtre noire Enrosed";"Single red soap rose in a long black Enrosed window gift box";"Einzelne rote Seifenrose in einer langen schwarzen Geschenkbox mit Enrosed-Fenster";"Una rosa de jabón roja en una caja de regalo con ventana larga y negra Enrosed";"Pojedyncza czerwona róża mydlana w długim czarnym pudełku upominkowym z okienkiem Enrosed";"Uma rosa de sabão vermelha numa caixa de presente Enrosed comprida, preta e com janela";"Uzun siyah Enrosed pencereli hediye kutusunda tek kırmızı sabun gülü"
"home.soap.note.label";"Homepage · Zeeprozen · Verzorgingsnotitie · bovenlabel";"true";"Ontworpen om cadeau te geven";"Conçu pour offrir";"Designed for gifting";"Zum Verschenken konzipiert";"Diseñado para regalar";"Zaprojektowany z myślą o prezentach";"Concebido para oferecer";"Hediye vermek için tasarlandı"
"home.soap.note.title";"Homepage · Zeeprozen · Verzorgingsnotitie · titel";"true";"Zacht aanvoelende bloemblaadjes.";"Pétales doux au toucher.";"Soft-touch petals.";"Soft-Touch-Blütenblätter.";"Pétalos de tacto suave.";"Płatki miękkie w dotyku.";"Pétalas de toque suave.";"Yumuşak dokunuşlu yapraklar."
"home.soap.note.titleEmphasis";"Homepage · Zeeprozen · Verzorgingsnotitie · titelaccent";"true";"Een gepolijste afwerking.";"Une finition polie.";"A polished finish.";"Eine polierte Oberfläche.";"Un acabado pulido.";"Polerowane wykończenie.";"Um acabamento polido.";"Parlak bir yüzey."
"home.soap.note.description";"Homepage · Zeeprozen · Verzorgingsnotitie · beschrijving";"true";"Drie compacte formaten brengen kleur, textuur en een premium uitpakmoment voor bloemisten, cadeauwinkels en seizoensdisplays.";"Trois formats compacts apportent de la couleur, de la texture et un moment de déballage haut de gamme aux fleuristes, aux magasins de cadeaux et aux présentoirs saisonniers.";"Three compact formats bring colour, texture and a premium unboxing moment to florists, gift stores and seasonal retail displays.";"Drei kompakte Formate verbinden Farbe, Textur und ein hochwertiges Auspackerlebnis – für Floristikgeschäfte, Geschenkeläden und saisonale Verkaufsdisplays.";"Tres formatos compactos aportan color, textura y una experiencia de desembalaje premium a floristerías, tiendas de regalos y expositores de temporada.";"Trzy kompaktowe formaty łączą kolor, fakturę i efektowne otwieranie opakowania — z myślą o kwiaciarniach, sklepach z upominkami i sezonowych ekspozycjach detalicznych.";"Três formatos compactos trazem cor, textura e um momento de desembalamento premium para floristas, lojas de presentes e expositores sazonais de retalho.";"Üç kompakt format, çiçekçilere, hediyelik eşya mağazalarına ve sezonluk perakende vitrinlerine renk, doku ve birinci sınıf bir kutu açma anı getiriyor."
"home.soap.note.benefitsAria";"Homepage · Zeeprozen · Verzorgingsnotitie · toegankelijkheidslabel van voordelen";"true";"Retailvoordelen van zeeprozen";"Avantages des roses en savon pour le commerce";"Soap rose retail benefits";"Verkaufsvorteile von Seifenrosen";"Ventajas comerciales de las rosas de jabón";"Zalety róż mydlanych w sprzedaży";"Vantagens comerciais das rosas de sabão";"Sabun güllerinin satış avantajları"
"home.soap.note.benefit1";"Homepage · Zeeprozen · Verzorgingsnotitie · voordeel 1";"true";"Geen water of dagelijkse verzorging";"Pas d'eau ni d'entretien quotidien";"No water or daily care";"Kein Wasser oder tägliche Pflege";"Sin agua ni cuidados diarios";"Bez wody i codziennej pielęgnacji";"Sem água ou cuidados diários";"Su veya günlük bakım yok"
"home.soap.note.benefit2";"Homepage · Zeeprozen · Verzorgingsnotitie · voordeel 2";"true";"Cadeauklare presentatie";"Présentation prête à offrir";"Gift-ready presentation";"Geschenkfertige Präsentation";"Presentación lista para regalar";"Prezentacja gotowa na prezent";"Apresentação pronta para oferta";"Hediyeye hazır sunum"
"home.soap.note.benefit3";"Homepage · Zeeprozen · Verzorgingsnotitie · voordeel 3";"true";"Gemakkelijk te verkopen";"Facile à commercialiser";"Easy to merchandise";"Einfach zu vermarkten";"Fácil de comercializar";"Łatwy w sprzedaży";"Fácil de expor";"Kolay satış"
"home.soap.item2.label";"Homepage · Zeeprozen · item 2 · bovenlabel";"true";"02 · Presentatiekubus";"02 · Cube de présentation";"02 · Presentation cube";"02 · Präsentationswürfel";"02 · Cubo de presentación";"02 · Kostka prezentacyjna";"02 · Cubo de apresentação";"02 · Sunum küpü"
"home.soap.item2.title";"Homepage · Zeeprozen · item 2 · titel";"true";"Vrij zicht.";"Vue dégagée.";"Clear view.";"Klare Sicht.";"Vista clara.";"Wyraźny widok.";"Visão clara.";"Net görünüm."
"home.soap.item2.titleEmphasis";"Homepage · Zeeprozen · item 2 · titelaccent";"true";"Direct cadeau.";"Cadeau instantané.";"Instant gift.";"Sofortgeschenk.";"Regalo instantáneo.";"Natychmiastowy prezent.";"Presente instantâneo.";"Anında hediye."
"home.soap.item2.imageAlt";"Homepage · Zeeprozen · item 2 · alternatieve fototekst";"true";"Enkele rode zeeproos in een heldere Enrosed presentatiekubus";"Rose de savon rouge unique dans un cube de présentation transparent Enrosed";"Single red soap rose in a clear Enrosed presentation cube";"Einzelne rote Seifenrose in einem klaren Enrosed Präsentationswürfel";"Una rosa de jabón roja en un cubo de presentación transparente Enrosed";"Pojedyncza czerwona róża mydlana w przezroczystej kostce prezentacyjnej Enrosed";"Uma rosa de sabão vermelha num cubo de apresentação transparente Enrosed";"Berrak Enrosed sunum küpünde tek kırmızı sabun gülü"
"home.soap.item3.label";"Homepage · Zeeprozen · item 3 · bovenlabel";"true";"03 · Zeeprozen met LED";"03 · Roses en savon avec LED";"03 · Soap roses with LED";"03 · Seifenrosen mit LED";"03 · Rosas de jabón con LED";"03 · Róże mydlane z diodą LED";"03 · Rosas de sabão com LED";"03 · LED'li sabun gülleri"
"home.soap.item3.title";"Homepage · Zeeprozen · item 3 · titel";"true";"Een vleugje licht, klaar voor verkoop.";"Une touche de lumière, prête à vendre.";"A little light, ready to sell.";"Ein Hauch von Licht, verkaufsfertig.";"Un toque de luz, listo para vender.";"Odrobina światła, gotowa do sprzedaży.";"Um toque de luz, pronto a vender.";"Bir ışık dokunuşu, satışa hazır."
"home.soap.item3.imageAlt";"Homepage · Zeeprozen · item 3 · alternatieve fototekst";"true";"Rode zeeprozen met warme LED-lampjes in een heldere koker";"Roses de savon rouges avec lumières LED chaudes dans un tube transparent";"Red soap roses with warm LED lights in a clear tube";"Rote Seifenrosen mit warmen LED-Lichtern in einer transparenten Röhre";"Rosas de jabón rojas con cálidas luces LED en un tubo transparente";"Czerwone róże mydlane z ciepłymi światłami LED w przezroczystej tubie";"Rosas de sabão vermelhas com luzes LED quentes num tubo transparente";"Şeffaf tüpte sıcak LED ışıklı kırmızı sabun gülleri"
"home.soap.item3.cta";"Homepage · Zeeprozen · item 3 · knoptekst";"true";"Bekijk het product";"Voir le produit";"View the product";"Sehen Sie sich das Produkt an";"Ver el producto";"Zobacz produkt";"Ver produto";"Ürünü görüntüle"
"home.catalog.aria";"Homepage · Collectie · toegankelijkheidslabel";"true";"Enrosed productcollectie";"Collection de produits Enrosed";"Enrosed product collection";"Enrosed Produktkollektion";"Colección de productos Enrosed";"Kolekcja produktów Enrosed";"Coleção de produtos Enrosed";"Enrosed ürün koleksiyonu"
"home.catalog.label";"Homepage · Collectie · bovenlabel";"true";"De volledige Enrosed-collectie";"La collection complète Enrosed";"The complete Enrosed collection";"Die komplette Enrosed-Sammlung";"La colección completa Enrosed";"Kompletna kolekcja Enrosed";"A coleção completa Enrosed";"Enrosed koleksiyonunun tamamı"
"home.catalog.title";"Homepage · Collectie · titel";"true";"Elke roos, klaar voor de detailhandel.";"Chaque rose, prête à être vendue au détail.";"Every rose, ready for retail.";"Jede Rose, bereit für den Verkauf.";"Cada rosa, lista para la venta al por menor.";"Każda róża gotowa do sprzedaży detalicznej.";"Todas as rosas, prontas para o retalho.";"Her gül perakende satış için hazır."
"home.catalog.intro";"Homepage · Collectie · inleiding";"true";"{productCount} producten in drie Enrosed-collecties, gepresenteerd voor handels- en groothandelsaanvragen.";"{productCount} produits répartis dans trois collections Enrosed, présentés pour les demandes professionnelles et de gros.";"{productCount} products across three Enrosed collections, presented for trade and wholesale enquiries.";"{productCount} Produkte in drei Enrosed-Kollektionen, präsentiert für Handels- und Großhandelsanfragen.";"{productCount} productos en tres colecciones Enrosed, presentados para consultas profesionales y mayoristas.";"{productCount} produktów w trzech kolekcjach Enrosed, przygotowanych z myślą o zapytaniach handlowych i hurtowych.";"{productCount} produtos em três coleções Enrosed, apresentados para pedidos profissionais e de comércio por grosso.";"Üç Enrosed koleksiyonunda {productCount} ürün; ticari ve toptan satış talepleri için sunulur."
"home.catalog.quoteCta";"Homepage · Collectie · offerteknop";"true";"Vraag een handelsofferte aan";"Demander un devis professionnel";"Request trade quote";"Handelsangebot anfragen";"Solicitar presupuesto profesional";"Poproś o ofertę handlową";"Pedir proposta comercial";"Ticari teklif isteyin"
"home.catalog.mobileLabel";"Homepage · Collectie · bovenlabel op mobiel";"true";"Groothandelsassortiment";"Gamme de gros";"Wholesale range";"Großhandelssortiment";"Gama mayorista";"Asortyment hurtowy";"Gama para grossistas";"Toptan ürün grubu"
"home.catalog.mobileTitle";"Homepage · Collectie · mobiele titel";"true";"Kies uw assortiment.";"Choisissez votre gamme.";"Choose your range.";"Wählen Sie Ihr Sortiment.";"Elija su gama.";"Wybierz swój asortyment.";"Escolha a sua gama.";"Ürün grubunuzu seçin."
"home.catalog.mobileIntro";"Homepage · Collectie · mobiele inleiding";"true";"Vergelijk {productCount} formaten per categorie. Op elke productpagina vindt u kleuren, presentatie en beschikbare specificaties.";"Comparez {productCount} formats par catégorie. Chaque page produit présente les couleurs, la présentation et les spécifications disponibles.";"Compare {productCount} formats by category. Each product page shows colours, presentation and available specifications.";"Vergleichen Sie {productCount} Formate nach Kategorie. Jede Produktseite zeigt Farben, Präsentation und verfügbare Spezifikationen.";"Compare {productCount} formatos por categoría. Cada página de producto muestra colores, presentación y especificaciones disponibles.";"Porównaj {productCount} formatów według kategorii. Każda strona produktu pokazuje kolory, sposób prezentacji i dostępne specyfikacje.";"Compare {productCount} formatos por categoria. Cada página de produto apresenta cores, apresentação e especificações disponíveis.";"{productCount} formatı kategoriye göre karşılaştırın. Her ürün sayfası renkleri, sunumu ve mevcut özellikleri gösterir."
"home.catalog.mobileBrowseAria";"Homepage · Collectie · toegankelijkheidslabel van mobiele lijst";"true";"Blader door de volledige productcategorieën";"Parcourir toutes les catégories de produits";"Browse the full product categories";"Durchsuchen Sie die vollständigen Produktkategorien";"Explora todas las categorías de productos";"Przeglądaj pełne kategorie produktów";"Navegue pelas categorias completas de produtos";"Tüm ürün kategorilerine göz atın"
"home.catalog.mobileCategoryMeta";"Homepage · Collectie · mobiele categoriemeta";"true";"Aantal producten: {count}";"Nombre de produits : {count}";"{count} products";"Produkte: {count}";"Productos: {count}";"Liczba produktów: {count}";"Produtos: {count}";"Ürün sayısı: {count}"
"home.catalog.mobileCategoryPreviewMeta";"Homepage · Collectie · mobiele previewmeta";"true";"Preview: {option} · Producten: {count}";"Aperçu : {option} · Produits : {count}";"{option} preview · {count} products";"Vorschau: {option} · Produkte: {count}";"Vista previa: {option} · Productos: {count}";"Podgląd: {option} · Liczba produktów: {count}";"Pré-visualização: {option} · Produtos: {count}";"{option} önizlemesi · Ürün sayısı: {count}"
"home.catalog.mobileAllCta";"Homepage · Collectie · mobiele alle-productenknop";"true";"Bekijk alle {count} producten";"Voir les {count} produits";"View all {count} products";"Alle {count} Produkte anzeigen";"Ver los {count} productos";"Zobacz wszystkie produkty ({count})";"Ver os {count} produtos";"{count} ürünün tümünü görüntüle"
"home.catalog.viewProductPageAria";"Homepage · Collectie · toegankelijkheidslabel voor productpagina";"true";"Bekijk de productpagina van {product}";"Voir la page produit {product}";"View {product} product page";"Produktseite {product} anzeigen";"Ver página de producto {product}";"Wyświetl stronę produktu {product}";"Ver página do produto {product}";"{product} ürün sayfasını görüntüle"
"home.catalog.viewProductDetailsAria";"Homepage · Collectie · toegankelijkheidslabel voor productdetails";"true";"Bekijk {product}-details";"Afficher les détails de {product}";"View {product} details";"Details zu {product} anzeigen";"Ver detalles de {product}";"Wyświetl szczegóły {product}";"Ver detalhes de {product}";"{product} ayrıntılarını görüntüle"
"home.catalog.swipe";"Homepage · Collectie · swipehint";"true";"Veeg om te verkennen";"Faites glisser pour explorer";"Swipe to explore";"Zum Erkunden wischen";"Desliza para explorar";"Przesuń, aby eksplorować";"Deslize para explorar";"Keşfetmek için kaydırın"
"home.catalog.options";"Homepage · Collectie · opties";"true";"Opties: {options}";"Options  : {options}";"Options: {options}";"Optionen: {options}";"Opciones: {options}";"Opcje: {options}";"Opções: {options}";"Seçenekler: {options}"
"home.catalog.colourDirections";"Homepage · Collectie · Kleurrichtingen";"true";"Kleurrichting: {colours}";"Sens des couleurs : {colours}";"Colour directions: {colours}";"Farbrichtungen: {colours}";"Direcciones de color: {colours}";"Kierunki kolorów: {colours}";"Direções de cor: {colours}";"Renk yönleri: {colours}"
"home.catalog.coloursOnRequest";"Homepage · Collectie · kleuren op aanvraag";"true";"Kleuren en beschikbaarheid op aanvraag";"Coloris et disponibilité sur demande";"Colours and availability on request";"Farben und Verfügbarkeit auf Anfrage";"Colores y disponibilidad bajo petición";"Kolory i dostępność na zamówienie";"Cores e disponibilidade sob consulta";"Renkler ve stok durumu istek üzerine"
"home.catalog.previewOption";"Homepage · Collectie · optiepreview";"true";"Preview-optie";"Option d'aperçu";"Preview option";"Vorschauoption";"Opción de vista previa";"Opcja podglądu";"Opção de pré-visualização";"Önizleme seçeneği"
"home.catalog.previewColour";"Homepage · Collectie · kleurpreview";"true";"Voorbeeldkleur";"Couleur d'aperçu";"Preview colour";"Vorschau der Farbe";"Vista previa del color";"Podgląd koloru";"Pré-visualização da cor";"Önizleme rengi"
"home.catalog.previewOptionAria";"Homepage · Collectie · toegankelijkheidslabel van optiepreview";"true";"Voorbeeld {product}: {option}";"Aperçu {product} : {option}";"Preview {product}: {option}";"Vorschau {product}: {option}";"Vista previa {product}: {option}";"Podgląd {product}: {option}";"Pré-visualizar {product}: {option}";"Önizleme {product}: {option}"
"home.catalog.previewColourAria";"Homepage · Collectie · toegankelijkheidslabel van kleurpreview";"true";"Voorbeeld van {product} in {colour}";"Aperçu de {product} dans {colour}";"Preview {product} in {colour}";"Vorschau {product} in {colour}";"Vista previa {product} en {colour}";"Podgląd {product} w {colour}";"Pré-visualizar {product} em {colour}";"{product} için {colour} renk önizlemesi"
"home.catalog.showing";"Homepage · Collectie · getoonde selectie";"true";"Toont {label}";"affichant {label}";"Showing {label}";"Zeigt {label}";"Mostrando {label}";"Wyświetlanie {label}";"A apresentar {label}";"{label} gösteriliyor"
"home.catalog.chooseOption";"Homepage · Collectie · optie kiezen";"true";"Kies een optie";"Choisissez une option";"Choose an option";"Wählen Sie eine Option";"Elige una opción";"Wybierz opcję";"Escolha uma opção";"Bir seçenek belirleyin"
"home.catalog.chooseColour";"Homepage · Collectie · kleur kiezen";"true";"Kies een kleur";"Choisissez une couleur";"Choose a colour";"Wählen Sie eine Farbe";"Elige un color";"Wybierz kolor";"Escolha uma cor";"Bir renk seçin"
"home.catalog.loading";"Homepage · Collectie · laadmelding";"true";"{label} wordt geladen";"Chargement {label}";"Loading {label}";"{label} wird geladen";"Cargando {label}";"Ładowanie {label}";"A carregar {label}";"Yükleniyor {label}"
"home.catalog.previewUnavailable";"Homepage · Collectie · preview niet beschikbaar";"true";"{label} voorbeeld niet beschikbaar";"Aperçu de {label} indisponible";"{label} preview unavailable";"{label} Vorschau nicht verfügbar";"Vista previa de {label} no disponible";"Podgląd {label} jest niedostępny";"Pré-visualização de {label} indisponível";"{label} önizleme kullanılamıyor"
"home.retail.label";"Homepage · Retailkanalen · bovenlabel";"true";"Detailhandel met veel verkeer";"Commerce de détail à fort trafic";"High-traffic retail";"Stark frequentierter Einzelhandel";"Comercio minorista de alto tráfico";"Handel detaliczny o dużym natężeniu ruchu";"Retalho de alto tráfego";"Yüksek trafikli perakende"
"home.retail.title";"Homepage · Retailkanalen · titel";"true";"Drie verkoopplekken.";"Trois points de vente.";"Three places.";"Drei Verkaufsorte.";"Tres puntos de venta.";"Trzy miejsca sprzedaży.";"Três pontos de venda.";"Üç satış noktası."
"home.retail.titleEmphasis";"Homepage · Retailkanalen · titelaccent";"true";"Eén toonbankklare oplossing.";"Une solution prête pour le comptoir.";"One counter-ready answer.";"Eine verkaufsfertige Lösung.";"Una solución lista para el mostrador.";"Jedno rozwiązanie gotowe na ladę.";"Uma solução pronta para o balcão.";"Tezgâha hazır tek çözüm."
"home.retail.intro";"Homepage · Retailkanalen · inleiding";"true";"Geselecteerde Enrosed-displays passen goed in drukke retailomgevingen waar klanten vaak ter plekke een betekenisvol cadeau zoeken.";"Certains présentoirs Enrosed conviennent aux espaces de vente très fréquentés, où les clients recherchent souvent sur place un cadeau qui a du sens.";"Selected Enrosed displays can suit busy retail environments where customers often need a meaningful gift on the spot.";"Ausgewählte Enrosed-Displays eignen sich für stark frequentierte Verkaufsumgebungen, in denen Kunden oft direkt vor Ort ein besonderes Geschenk suchen.";"Algunos expositores Enrosed son ideales para espacios comerciales concurridos, donde los clientes suelen buscar un regalo especial en el momento.";"Wybrane ekspozytory Enrosed sprawdzą się w ruchliwych punktach sprzedaży, w których klienci często szukają na miejscu wyjątkowego prezentu.";"Alguns expositores Enrosed são adequados a espaços de retalho movimentados, onde os clientes procuram frequentemente um presente especial para levar no momento.";"Seçili Enrosed stantları, müşterilerin çoğu zaman o anda anlamlı bir hediye aradığı yoğun perakende ortamları için uygundur."
"home.retail.imageCaption";"Homepage · Retailkanalen · Fotobijschrift";"true";"Illustratieve winkelomgeving";"Cadre de vente au détail illustratif";"Illustrative retail setting";"Illustratives Einzelhandelsambiente";"Entorno minorista ilustrativo";"Przykładowe ustawienie detaliczne";"Configuração de retalho ilustrativa";"Açıklayıcı perakende satış ortamı"
"home.retail.hospital.title";"Homepage · Retailkanalen · Ziekenhuiswinkel · titel";"true";"Ziekenhuiscadeauwinkels";"Boutiques de cadeaux d'hôpitaux";"Hospital gift shops";"Geschenkeläden für Krankenhäuser";"Tiendas de regalos de hospitales";"Szpitalne sklepy z upominkami";"Lojas de presentes hospitalares";"Hastane hediyelik eşya mağazaları"
"home.retail.hospital.description";"Homepage · Retailkanalen · Ziekenhuiswinkel · beschrijving";"true";"Een doordachte, kant-en-klare optie voor bezoek, bedank- en beterschapsmomenten.";"Une option réfléchie et prête à l'emploi pour les visites, les remerciements et les moments de rétablissement.";"A considered, ready-presented option for visits, thanks and get-well moments.";"Eine durchdachte, fertig präsentierte Option für Besuche, Danksagungen und Genesungsmomente.";"Una opción cuidada y lista para regalar en visitas, agradecimientos y deseos de pronta recuperación.";"Przemyślana, gotowa do wręczenia opcja na wizyty, podziękowania i życzenia powrotu do zdrowia.";"Uma opção ponderada e já apresentada para visitas, agradecimentos e momentos de melhoras.";"Ziyaretler, teşekkür ve geçmiş olsun anları için düşünülmüş, hazır sunumlu bir seçenek."
"home.retail.petrol.title";"Homepage · Retailkanalen · Tankstation · titel";"true";"Benzinestations";"Stations-service";"Petrol stations";"Tankstellen";"Gasolineras";"Stacje benzynowe";"Postos de abastecimento";"Benzin istasyonları"
"home.retail.petrol.description";"Homepage · Retailkanalen · Tankstation · beschrijving";"true";"Compacte toonbankformaten voor last-minute cadeaus en seizoensverkoop bij benzinestations.";"Formats de comptoir compacts pour les cadeaux de dernière minute et les ventes saisonnières en station-service.";"Compact counter formats for last-minute gifting and seasonal convenience retail.";"Kompakte Thekenformate für Last-Minute-Geschenke und saisonale Verkäufe an Tankstellen.";"Formatos de mostrador compactos para regalos de última hora y ventas de temporada en gasolineras.";"Kompaktowe formaty na ladę do prezentów na ostatnią chwilę i sezonowej sprzedaży na stacjach benzynowych.";"Formatos de balcão compactos para presentes de última hora e vendas sazonais em postos de abastecimento.";"Son dakika hediyeleri ve akaryakıt istasyonu mağazalarındaki sezonluk satışlar için kompakt tezgâh formatları."
"home.retail.supermarket.title";"Homepage · Retailkanalen · Supermarkt · titel";"true";"Supermarkten";"Supermarchés";"Supermarkets";"Supermärkte";"Supermercados";"Supermarkety";"Supermercados";"Süpermarketler"
