key;nl;fr;en;de;es;pl;pt;tr
portalFor;voor;pour;for;für;para;dla;para;için
portalValidUntil;geldig tot;valable jusqu'au;valid until;gültig bis;válido hasta;ważna do;válido até;geçerlilik tarihi
portalBoxes;dozen;cartons;cartons;Kartons;cajas;kartony;caixas;koli
portalPalletsShort;pallet(s);palette(s);pallet(s);Palette(n);palé(s);paleta(y);palete(s);palet
portalDiscount;korting;remise;discount;Rabatt;descuento;rabat;desconto;indirim
portalSignedBy;Getekend door;Signé par;Signed by;Unterzeichnet von;Firmado por;Podpisano przez;Assinado por;İmzalayan
portalSignedText;Wij nemen contact op voor de bevestiging.;Nous vous contactons pour la confirmation.;We will be in touch to confirm.;Wir melden uns zur Bestätigung.;Nos pondremos en contacto para la confirmación.;Skontaktujemy się w celu potwierdzenia.;Entraremos em contacto para a confirmação.;Onay için sizinle iletişime geçeceğiz.
portalProposalSent;Uw wijzigingsvoorstel is doorgestuurd.;Votre proposition de modification a été transmise.;Your proposed change has been sent.;Ihr Änderungsvorschlag wurde übermittelt.;Su propuesta de cambio ha sido enviada.;Państwa propozycja zmiany została przesłana.;A sua proposta de alteração foi enviada.;Değişiklik öneriniz iletildi.
portalProposalApproved;Uw wijziging is verwerkt.;Votre modification a été prise en compte.;Your change has been applied.;Ihre Änderung wurde übernommen.;Su cambio ha sido aplicado.;Państwa zmiana została wprowadzona.;A sua alteração foi aplicada.;Değişikliğiniz uygulandı.
portalProposalRejected;Uw voorstel is niet overgenomen.;Votre proposition n'a pas été retenue.;Your proposal was not adopted.;Ihr Vorschlag wurde nicht übernommen.;Su propuesta no ha sido aceptada.;Państwa propozycja nie została przyjęta.;A sua proposta não foi aceite.;Öneriniz kabul edilmedi.
portalWhatNext;Wat wil u doen?;Que souhaitez-vous faire ?;What would you like to do?;Was möchten Sie tun?;¿Qué desea hacer?;Co chcą Państwo zrobić?;O que pretende fazer?;Ne yapmak istersiniz?
portalRejectQuote;Offerte afwijzen;Refuser l'offre;Decline quotation;Angebot ablehnen;Rechazar el presupuesto;Odrzuć ofertę;Recusar o orçamento;Teklifi reddet
portalPdf;Offerte als PDF;Offre en PDF;Quotation as PDF;Angebot als PDF;Presupuesto en PDF;Oferta w PDF;Orçamento em PDF;PDF olarak teklif
portalLoading;Laden…;Chargement…;Loading…;Wird geladen…;Cargando…;Wczytywanie…;A carregar…;Yükleniyor…
portalSignTitle;Aanvaarden en tekenen;Accepter et signer;Accept and sign;Annehmen und unterzeichnen;Aceptar y firmar;Akceptuj i podpisz;Aceitar e assinar;Kabul et ve imzala
portalSignText;Door uw naam in te vullen aanvaardt u deze offerte. Dat geldt als uw digitale handtekening.;En indiquant votre nom, vous acceptez cette offre. Cela vaut signature électronique.;By entering your name you accept this quotation. That counts as your digital signature.;Mit der Eingabe Ihres Namens nehmen Sie dieses Angebot an. Das gilt als Ihre digitale Unterschrift.;Al indicar su nombre acepta este presupuesto. Esto vale como su firma digital.;Wpisując swoje imię i nazwisko, akceptują Państwo tę ofertę. Jest to równoznaczne z podpisem cyfrowym.;Ao indicar o seu nome aceita este orçamento. Isso vale como a sua assinatura digital.;Adınızı girerek bu teklifi kabul etmiş olursunuz. Bu, dijital imzanız yerine geçer.
portalSignButton;Tekenen;Signer;Sign;Unterzeichnen;Firmar;Podpisz;Assinar;İmzala
portalNoteOptional;Opmerking (optioneel);Remarque (facultatif);Note (optional);Anmerkung (optional);Observación (opcional);Uwaga (opcjonalnie);Observação (opcional);Not (isteğe bağlı)
portalProposeText;Pas de aantallen aan die u wil wijzigen. Wij kijken uw voorstel na en sturen een aangepaste offerte terug. Zet een aantal op 0 om een regel te laten vervallen.;Adaptez les quantités que vous souhaitez modifier. Nous examinons votre proposition et vous renvoyons une offre adaptée. Mettez une quantité à 0 pour supprimer une ligne.;Adjust the quantities you would like to change. We review your proposal and send back an amended quotation. Set a quantity to 0 to drop a line.;Passen Sie die Mengen an, die Sie ändern möchten. Wir prüfen Ihren Vorschlag und senden Ihnen ein angepasstes Angebot zurück. Setzen Sie eine Menge auf 0, um eine Position zu streichen.;Ajuste las cantidades que desee cambiar. Revisamos su propuesta y le devolvemos un presupuesto actualizado. Ponga una cantidad a 0 para eliminar una línea.;Prosimy dostosować ilości, które chcą Państwo zmienić. Sprawdzimy propozycję i odeślemy zaktualizowaną ofertę. Ustawienie ilości na 0 usuwa pozycję.;Ajuste as quantidades que pretende alterar. Analisamos a sua proposta e devolvemos um orçamento atualizado. Coloque uma quantidade a 0 para eliminar uma linha.;Değiştirmek istediğiniz adetleri düzenleyin. Önerinizi inceleyip güncellenmiş bir teklif göndeririz. Bir satırı kaldırmak için adedi 0 yapın.
portalOnYourQuote;Op uw offerte;Sur votre offre;On your quotation;Auf Ihrem Angebot;En su presupuesto;W Państwa ofercie;No seu orçamento;Teklifinizde
portalAddSection;Iets bijbestellen;Ajouter des articles;Add items;Artikel hinzufügen;Añadir artículos;Dodaj artykuły;Adicionar artigos;Ürün ekle
portalOutOfStockWarning;"U koos een artikel dat niet op voorraad ligt. Wij moeten dat eerst aanvaarden en laten u de levertermijn weten; daarna krijgt u een aangepaste offerte om te tekenen.";"Vous avez choisi un article qui n'est pas en stock. Nous devons d'abord l'accepter et vous communiquerons le délai de livraison; vous recevrez ensuite une offre adaptée à signer.";"You selected an item that is not in stock. We need to accept that first and will let you know the delivery date; you will then receive an amended quotation to sign.";"Sie haben einen Artikel gewählt, der nicht vorrätig ist. Wir müssen das zuerst annehmen und teilen Ihnen den Liefertermin mit; danach erhalten Sie ein angepasstes Angebot zur Unterzeichnung.";"Ha elegido un artículo que no está en stock. Primero tenemos que aceptarlo y le comunicaremos el plazo de entrega; después recibirá un presupuesto actualizado para firmar.";"Wybrali Państwo artykuł niedostępny w magazynie. Musimy to najpierw zaakceptować i podamy termin dostawy; następnie otrzymają Państwo zaktualizowaną ofertę do podpisu.";"Escolheu um artigo que não está em stock. Temos primeiro de o aceitar e comunicaremos o prazo de entrega; depois receberá um orçamento atualizado para assinar.";"Stokta bulunmayan bir ürün seçtiniz. Önce bunu kabul etmemiz gerekiyor ve teslim süresini size bildireceğiz; ardından imzalamanız için güncellenmiş bir teklif alacaksınız."
portalReasonOptional;Reden (optioneel);Motif (facultatif);Reason (optional);Grund (optional);Motivo (opcional);Powód (opcjonalnie);Motivo (opcional);Gerekçe (isteğe bağlı)
portalOptional;optioneel;facultatif;optional;optional;opcional;opcjonalnie;opcional;isteğe bağlı
portalFooter;Vragen? Antwoord gerust op de mail met deze offerte.;Des questions ? Répondez simplement au courriel accompagnant cette offre.;Questions? Simply reply to the email that came with this quotation.;Fragen? Antworten Sie einfach auf die E-Mail mit diesem Angebot.;¿Preguntas? Responda sin más al correo que acompaña este presupuesto.;Pytania? Wystarczy odpowiedzieć na wiadomość e-mail z tą ofertą.;Questões? Basta responder ao e-mail que acompanha este orçamento.;Sorularınız mı var? Bu teklifin geldiği e-postayı yanıtlamanız yeterli.
invoice;Factuur;Facture;Invoice;Rechnung;Factura;Faktura;Fatura;Fatura
dueDate;Vervaldatum;Échéance;Due date;Fälligkeit;Vencimiento;Termin płatności;Vencimento;Vade tarihi
paymentTitle;Betaling;Paiement;Payment;Zahlung;Pago;Płatność;Pagamento;Ödeme
paymentInstruction;Gelieve %s te betalen vóór %s op rekening %s met vermelding van %s.;Veuillez régler %s avant le %s sur le compte %s en mentionnant %s.;Please transfer %s before %s to account %s stating reference %s.;Bitte überweisen Sie %s vor dem %s auf das Konto %s unter Angabe von %s.;Le rogamos abonar %s antes del %s en la cuenta %s indicando %s.;Prosimy o wpłatę %s przed %s na konto %s z dopiskiem %s.;Queira pagar %s antes de %s para a conta %s indicando %s.;Lütfen %s tutarını %s tarihinden önce %s hesabına %s referansıyla ödeyiniz.
reference;Mededeling;Communication;Reference;Verwendungszweck;Concepto;Tytuł przelewu;Referência;Açıklama
toPay;Te betalen;À payer;Amount due;Zu zahlen;A pagar;Do zapłaty;A pagar;Ödenecek tutar
page;Pagina;Page;Page;Seite;Página;Strona;Página;Sayfa
mailSubjectInvoice;Factuur %s van Enrosed;Facture %s d'Enrosed;Invoice %s from Enrosed;Rechnung %s von Enrosed;Factura %s de Enrosed;Faktura %s od Enrosed;Fatura %s da Enrosed;Enrosed %s numaralı fatura
mailIntroInvoice;In bijlage vindt u factuur %s. De betaalgegevens staan op het document.;Veuillez trouver en annexe la facture %s. Les données de paiement figurent sur le document.;Please find invoice %s attached. The payment details are on the document.;Im Anhang finden Sie die Rechnung %s. Die Zahlungsdaten stehen auf dem Dokument.;Adjuntamos la factura %s. Los datos de pago figuran en el documento.;W załączniku znajdą Państwo fakturę %s. Dane do płatności znajdują się na dokumencie.;Em anexo encontra a fatura %s. Os dados de pagamento constam do documento.;Ekte %s numaralı faturayı bulabilirsiniz. Ödeme bilgileri belgede yer almaktadır.
peppolNotice;GEEN GELDIGE FACTUUR — de wettelijke factuur wordt elektronisch via Peppol bezorgd (enrosed.odoo.com). Dit document is enkel ter informatie.;FACTURE NON VALABLE — la facture légale est transmise électroniquement via Peppol (enrosed.odoo.com). Ce document est fourni à titre informatif.;NOT A VALID INVOICE — the legal invoice is delivered electronically via Peppol (enrosed.odoo.com). This document is for information only.;KEINE GÜLTIGE RECHNUNG — die gesetzliche Rechnung wird elektronisch über Peppol zugestellt (enrosed.odoo.com). Dieses Dokument dient nur zur Information.;FACTURA NO VÁLIDA — la factura legal se entrega electrónicamente vía Peppol (enrosed.odoo.com). Este documento es solo informativo.;FAKTURA NIEWAŻNA — faktura ustawowa jest dostarczana elektronicznie przez Peppol (enrosed.odoo.com). Ten dokument ma charakter informacyjny.;FATURA NÃO VÁLIDA — a fatura legal é entregue eletronicamente via Peppol (enrosed.odoo.com). Este documento é apenas informativo.;GEÇERLİ FATURA DEĞİLDİR — yasal fatura Peppol üzerinden elektronik olarak iletilir (enrosed.odoo.com). Bu belge yalnızca bilgilendirme amaçlıdır.
termsTitle;Algemene voorwaarden;Conditions générales;General terms and conditions;Allgemeine Geschäftsbedingungen;Condiciones generales;Ogólne warunki;Condições gerais;Genel koşullar
pickup;Afhalen in het magazijn;Enlèvement à l'entrepôt;Collection at the warehouse;Abholung im Lager;Recogida en el almacén;Odbiór z magazynu;Levantamento no armazém;Depodan teslim alma
